id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51560588,Rental unit in Albany · ★4.64 · Studio · 1 bed · 1 bath,392074908,Jerry,,SIXTH WARD,42.65431,-73.75997,Entire home/apt,89,365,42,2023-09-10,1.62,7,251,6,
51579900,Rental unit in Albany · ★4.79 · 1 bedroom · 1 bed · 1 bath,47625981,Linda,,FOURTH WARD,42.65856,-73.74866,Entire home/apt,116,1,61,2023-09-10,2.35,13,74,23,
51592836,Rental unit in Albany · ★4.68 · 1 bedroom · 1 bed · 1 bath,60293220,David,,THIRD WARD,42.65812,-73.74941,Entire home/apt,85,3,59,2023-08-05,2.45,3,356,21,
51710034,Condo in Albany · ★4.52 · 1 bedroom · 1 bed · 1 bath,392074908,Jerry,,SIXTH WARD,42.65269,-73.76076,Entire home/apt,91,2,29,2023-07-26,1.14,7,335,8,
51964868,Rental unit in Albany · ★4.64 · 1 bedroom · 1 bed · 1 bath,392074908,Jerry,,SIXTH WARD,42.65442,-73.7611,Entire home/apt,91,2,50,2023-09-02,2.00,7,359,15,
52042995,Home in Albany · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,160832560,Luke,,FIFTEENTH WARD,42.67643,-73.82903,Private room,40,2,18,2023-09-09,0.81,1,325,5,
52152157,Townhouse in Albany · ★4.91 · 2 bedrooms · 2 beds · 1 bath,152762198,Allen,,FIRST WARD,42.63066,-73.77357,Entire home/apt,104,3,46,2023-09-15,1.88,7,103,24,
52225409,Home in Albany · ★4.79 · 3 bedrooms · 3 beds · 1 bath,207800855,Iris,,TWELFTH WARD,42.68553,-73.79716,Entire home/apt,108,1,28,2023-09-23,1.21,3,56,17,
52241973,Guest suite in Albany · ★4.91 · Studio · 1 bed · 1 bath,35465673,Jason,,SIXTH WARD,42.65641,-73.76413,Entire home/apt,79,1,169,2023-09-17,7.09,1,68,75,
52301345,Townhouse in Albany · ★4.25 · 1 bedroom · 2 beds · 1.5 shared baths,49100926,Clyde,,SIXTH WARD,42.65934,-73.76966,Private room,100,2,4,2022-08-16,0.21,4,273,0,
